TRADING JOURNAL — WEEKLY REPORT
Week ending : 2026-09-13  (2026-09-07 – 2026-09-13)
Generated   : 2026-09-13T22:00:01.393Z
============================================================

PERFORMANCE SUMMARY
----------------------------------------
Trading days  : 0
Total P&L     : +$0.00
Daily avg     : N/A
Win days      : 0 / 0 (N/A)


SETUP STATISTICS
----------------------------------------
10D_IB_MID_FADE_LONG           fired: 4 | wins: 2 | losses: 1 | expired: 1 | wr: 67% | avg +$33.27
OR30_HIGH_FADE_LONG            fired: 7 | wins: 4 | losses: 3 | expired: 0 | wr: 57% | avg +$15.14
OR30_HIGH_FADE_SHORT           fired: 5 | wins: 5 | losses: 0 | expired: 0 | wr: 100% | avg +$74.00
OR30_LOW_FADE_LONG             fired: 1 | wins: 1 | losses: 0 | expired: 0 | wr: 100% | avg +$74.00
OR30_LOW_FADE_SHORT            fired: 1 | wins: 0 | losses: 1 | expired: 0 | wr: 0% | avg -$76.00
OR30_MID_FADE_LONG             fired: 10 | wins: 6 | losses: 2 | expired: 2 | wr: 75% | avg +$26.77
OR30_MID_FADE_SHORT            fired: 4 | wins: 2 | losses: 1 | expired: 1 | wr: 67% | avg +$27.13
OR5_HIGH_FADE_LONG             fired: 9 | wins: 3 | losses: 5 | expired: 1 | wr: 38% | avg -$16.44
OR5_HIGH_FADE_SHORT            fired: 9 | wins: 1 | losses: 6 | expired: 1 | wr: 14% | avg -$19.33
OR5_LOW_FADE_LONG              fired: 2 | wins: 1 | losses: 1 | expired: 0 | wr: 50% | avg -$1.00
OR5_LOW_FADE_SHORT             fired: 2 | wins: 1 | losses: 1 | expired: 0 | wr: 50% | avg +$14.00
OR5_MID_FADE_LONG              fired: 13 | wins: 4 | losses: 6 | expired: 3 | wr: 40% | avg +$8.69
OR5_MID_FADE_SHORT             fired: 12 | wins: 6 | losses: 5 | expired: 1 | wr: 55% | avg +$21.04
PD2_VAH_FADE_LONG              fired: 1 | wins: 0 | losses: 1 | expired: 0 | wr: 0% | avg -$184.00
PD2_VAH_FADE_SHORT             fired: 2 | wins: 2 | losses: 0 | expired: 0 | wr: 100% | avg +$80.00
PD2_VAL_FADE_LONG              fired: 6 | wins: 4 | losses: 1 | expired: 1 | wr: 80% | avg +$9.75
PD2_VAL_FADE_SHORT             fired: 8 | wins: 7 | losses: 0 | expired: 1 | wr: 100% | avg +$82.25
PD_CLOSE_FADE_LONG             fired: 4 | wins: 0 | losses: 3 | expired: 1 | wr: 0% | avg -$30.25
PD_CLOSE_FADE_SHORT            fired: 4 | wins: 2 | losses: 2 | expired: 0 | wr: 50% | avg +$16.00
PD_HIGH_FADE_SHORT             fired: 2 | wins: 2 | losses: 0 | expired: 0 | wr: 100% | avg +$78.00
PD_IB_HIGH_FADE_SHORT          fired: 1 | wins: 1 | losses: 0 | expired: 0 | wr: 100% | avg +$74.00
PD_IB_LOW_FADE_LONG            fired: 3 | wins: 0 | losses: 2 | expired: 1 | wr: 0% | avg -$31.00
PD_IB_LOW_FADE_SHORT           fired: 3 | wins: 3 | losses: 0 | expired: 0 | wr: 100% | avg +$74.00
PD_IB_MID_FADE_LONG            fired: 4 | wins: 0 | losses: 4 | expired: 0 | wr: 0% | avg -$76.00
PD_IB_MID_FADE_SHORT           fired: 6 | wins: 6 | losses: 0 | expired: 0 | wr: 100% | avg +$74.00
PD_LOW_FADE_LONG               fired: 11 | wins: 5 | losses: 5 | expired: 1 | wr: 50% | avg +$4.45
PD_LOW_FADE_SHORT              fired: 7 | wins: 3 | losses: 4 | expired: 0 | wr: 43% | avg -$11.71
PD_OR_MID_FADE_SHORT           fired: 2 | wins: 2 | losses: 0 | expired: 0 | wr: 100% | avg +$74.00
PD_POC_FADE_LONG               fired: 19 | wins: 6 | losses: 13 | expired: 0 | wr: 32% | avg -$9.58
PD_POC_FADE_LONG_TRAIL         fired: 1 | wins: 0 | losses: 1 | expired: 0 | wr: 0% | avg -$180.00
PD_POC_FADE_SHORT              fired: 16 | wins: 0 | losses: 3 | expired: 1 | wr: 0% | avg +$21.89
PD_SESSION_MID_FADE_LONG       fired: 2 | wins: 1 | losses: 1 | expired: 0 | wr: 50% | avg +$3.00
PD_SESSION_MID_FADE_SHORT      fired: 2 | wins: 1 | losses: 1 | expired: 0 | wr: 50% | avg +$18.00
PD_VAH_FADE_LONG               fired: 3 | wins: 0 | losses: 2 | expired: 1 | wr: 0% | avg -$44.17
PD_VAH_FADE_SHORT              fired: 11 | wins: 6 | losses: 5 | expired: 0 | wr: 55% | avg +$18.18
PD_VAL_FADE_LONG               fired: 24 | wins: 10 | losses: 13 | expired: 0 | wr: 43% | avg -$10.77
PD_VAL_FADE_SHORT              fired: 2 | wins: 1 | losses: 1 | expired: 0 | wr: 50% | avg -$1.00
PM_POC_FADE_LONG               fired: 5 | wins: 2 | losses: 2 | expired: 1 | wr: 50% | avg -$36.70
PM_POC_FADE_SHORT              fired: 3 | wins: 3 | losses: 0 | expired: 0 | wr: 100% | avg +$93.67
PM_POC_FADE_SHORT_OVERNIGHT    fired: 5 | wins: 1 | losses: 4 | expired: 0 | wr: 20% | avg -$38.00
PM_POC_SWEEP_REVERSAL_SHORT_OVERNIGHT fired: 1 | wins: 0 | losses: 1 | expired: 0 | wr: 0% | avg -$92.00
PM_VAL_FADE_LONG               fired: 6 | wins: 4 | losses: 2 | expired: 0 | wr: 67% | avg +$30.33
PM_VAL_FADE_SHORT              fired: 7 | wins: 3 | losses: 4 | expired: 0 | wr: 43% | avg -$6.29
PM_VAL_FADE_SHORT_OVERNIGHT    fired: 3 | wins: 1 | losses: 2 | expired: 0 | wr: 33% | avg -$2.00
POC_ROTATION_JOIN_LONG         fired: 11 | wins: 0 | losses: 8 | expired: 3 | wr: 0% | avg +$9.41
POC_ROTATION_JOIN_SHORT        fired: 11 | wins: 0 | losses: 4 | expired: 7 | wr: 0% | avg +$60.23
PW_HIGH_FADE_LONG_OVERNIGHT    fired: 1 | wins: 0 | losses: 1 | expired: 0 | wr: 0% | avg -$92.00
PW_HIGH_FADE_SHORT             fired: 1 | wins: 1 | losses: 0 | expired: 0 | wr: 100% | avg +$74.00
PW_POC_FADE_LONG               fired: 3 | wins: 2 | losses: 1 | expired: 0 | wr: 67% | avg +$24.00
PW_POC_FADE_SHORT              fired: 3 | wins: 1 | losses: 2 | expired: 0 | wr: 33% | avg -$26.00
PW_POC_FADE_SHORT_OVERNIGHT    fired: 4 | wins: 1 | losses: 2 | expired: 1 | wr: 33% | avg -$2.00
PW_VAH_FADE_LONG               fired: 3 | wins: 0 | losses: 2 | expired: 1 | wr: 0% | avg -$45.67
PW_VAH_FADE_LONG_OVERNIGHT     fired: 7 | wins: 1 | losses: 5 | expired: 1 | wr: 17% | avg -$23.71
PW_VAH_FADE_SHORT              fired: 5 | wins: 5 | losses: 0 | expired: 0 | wr: 100% | avg +$89.20
PW_VAH_SWEEP_REVERSAL_SHORT_OVERNIGHT fired: 1 | wins: 0 | losses: 1 | expired: 0 | wr: 0% | avg -$92.00
PW_VAL_FADE_LONG               fired: 5 | wins: 1 | losses: 3 | expired: 1 | wr: 25% | avg -$28.10
PW_VAL_FADE_LONG_OVERNIGHT     fired: 2 | wins: 1 | losses: 1 | expired: 0 | wr: 50% | avg +$43.00
PW_VAL_FADE_SHORT              fired: 8 | wins: 4 | losses: 3 | expired: 1 | wr: 57% | avg +$13.63
RTH_FLUSH_LONG                 fired: 2 | wins: 0 | losses: 0 | expired: 2 | wr: unresolved | avg -$217.50
RTH_VWAP_FADE_LONG             fired: 15 | wins: 9 | losses: 6 | expired: 0 | wr: 60% | avg +$29.73
RTH_VWAP_FADE_SHORT            fired: 10 | wins: 5 | losses: 4 | expired: 1 | wr: 56% | avg +$27.95
STACK_VOL_BREAK_LIVE_LONG      fired: 2 | wins: 0 | losses: 1 | expired: 1 | wr: 0% | avg -$35.80
STACK_VOL_BREAK_LIVE_SHORT     fired: 2 | wins: 1 | losses: 1 | expired: 0 | wr: 50% | avg -$23.80
VWAP_RECLAIM_SHORT             fired: 1 | wins: 0 | losses: 1 | expired: 0 | wr: 0% | avg -$76.00
WEEKLY_OPEN_FADE_LONG          fired: 8 | wins: 4 | losses: 3 | expired: 1 | wr: 57% | avg +$3.75
WEEKLY_OPEN_FADE_SHORT         fired: 9 | wins: 5 | losses: 3 | expired: 1 | wr: 63% | avg +$20.78
WEEKLY_OPEN_FADE_SHORT_OVERNIGHT fired: 5 | wins: 0 | losses: 5 | expired: 0 | wr: 0% | avg -$92.00
WEEKLY_OPEN_SWEEP_REVERSAL_LONG_OVERNIGHT fired: 1 | wins: 1 | losses: 0 | expired: 0 | wr: 100% | avg +$178.00
WEEKLY_VWAP_FADE_LONG          fired: 8 | wins: 4 | losses: 3 | expired: 1 | wr: 57% | avg +$16.52
WEEKLY_VWAP_FADE_SHORT         fired: 4 | wins: 3 | losses: 1 | expired: 0 | wr: 75% | avg +$36.50
WEEKLY_VWAP_FADE_SHORT_OVERNIGHT fired: 2 | wins: 1 | losses: 1 | expired: 0 | wr: 50% | avg +$43.00
WPP_FADE_LONG                  fired: 8 | wins: 4 | losses: 2 | expired: 2 | wr: 67% | avg +$19.63
WPP_FADE_SHORT                 fired: 1 | wins: 0 | losses: 1 | expired: 0 | wr: 0% | avg -$76.00
WPP_FADE_SHORT_GAP_UP          fired: 2 | wins: 1 | losses: 0 | expired: 1 | wr: 100% | avg +$62.00
WS1_FADE_LONG                  fired: 5 | wins: 3 | losses: 1 | expired: 1 | wr: 75% | avg +$24.80
WS1_FADE_SHORT                 fired: 5 | wins: 2 | losses: 2 | expired: 1 | wr: 50% | avg +$2.80
WS1_FADE_SHORT_OVERNIGHT       fired: 2 | wins: 1 | losses: 1 | expired: 0 | wr: 50% | avg +$43.00

DYNAMIC MINED EDGES (Statistical shifts)
----------------------------------------
  🚀 Active Boosters (Size Up / Confirm):
    · IB_LOW_FADE_LONG             | Midday (11:30-13:30)   | WR: 62.5% vs Base: 41.0% (+21.5%) (p=0.0109)
    · IB_LOW_FADE_LONG             | Midday (11:30-13:30)   | WR: 62.5% vs Base: 41.0% (+21.5%) (p=0.0109)
    · IB_LOW_FADE_LONG             | Midday (11:30-13:30)   | WR: 62.5% vs Base: 41.0% (+21.5%) (p=0.0109)
    · IB_LOW_FADE_LONG             | Midday (11:30-13:30)   | WR: 62.5% vs Base: 41.0% (+21.5%) (p=0.0109)
    · IB_LOW_FADE_LONG             | Midday (11:30-13:30)   | WR: 62.5% vs Base: 41.0% (+21.5%) (p=0.0109)
    · IB_LOW_FADE_LONG             | Midday (11:30-13:30)   | WR: 62.5% vs Base: 41.0% (+21.5%) (p=0.0109)
    · IB_LOW_FADE_LONG             | Midday (11:30-13:30)   | WR: 62.5% vs Base: 41.0% (+21.5%) (p=0.0109)
    · IB_LOW_FADE_LONG             | Midday (11:30-13:30)   | WR: 62.5% vs Base: 41.0% (+21.5%) (p=0.0109)
    · IB_LOW_FADE_LONG             | Midday (11:30-13:30)   | WR: 62.5% vs Base: 41.0% (+21.5%) (p=0.0109)
    · IB_LOW_FADE_LONG             | Midday (11:30-13:30)   | WR: 62.5% vs Base: 41.0% (+21.5%) (p=0.0109)
    · IB_BEARISH                   | Friday                 | WR: 69.6% vs Base: 48.6% (+20.9%) (p=0.0286)
    · IB_BEARISH                   | Friday                 | WR: 69.6% vs Base: 48.6% (+20.9%) (p=0.0286)
    · IB_BEARISH                   | Friday                 | WR: 69.6% vs Base: 48.6% (+20.9%) (p=0.0286)
    · IB_BEARISH                   | Friday                 | WR: 69.6% vs Base: 48.6% (+20.9%) (p=0.0286)
    · IB_BEARISH                   | Friday                 | WR: 69.6% vs Base: 48.6% (+20.9%) (p=0.0286)
    · IB_BEARISH                   | Friday                 | WR: 69.6% vs Base: 48.6% (+20.9%) (p=0.0286)
    · IB_BEARISH                   | Friday                 | WR: 69.6% vs Base: 48.6% (+20.9%) (p=0.0286)
    · IB_BEARISH                   | Friday                 | WR: 69.6% vs Base: 48.6% (+20.9%) (p=0.0286)
    · IB_BEARISH                   | Friday                 | WR: 69.6% vs Base: 48.6% (+20.9%) (p=0.0286)
    · IB_BEARISH                   | Friday                 | WR: 69.6% vs Base: 48.6% (+20.9%) (p=0.0286)
    · IB_BEARISH                   | Friday                 | WR: 69.6% vs Base: 48.6% (+20.9%) (p=0.0286)
    · WEEKLY_VWAP_FADE_SHORT       | Normal OR              | WR: 68.2% vs Base: 52.2% (+16.0%) (p=0.0374)
    · WEEKLY_VWAP_FADE_SHORT       | Normal OR              | WR: 68.2% vs Base: 52.2% (+16.0%) (p=0.0374)
    · WEEKLY_VWAP_FADE_SHORT       | Normal OR              | WR: 68.2% vs Base: 52.2% (+16.0%) (p=0.0374)
    · WEEKLY_VWAP_FADE_SHORT       | Normal OR              | WR: 68.2% vs Base: 52.2% (+16.0%) (p=0.0374)
    · WEEKLY_VWAP_FADE_SHORT       | Normal OR              | WR: 68.2% vs Base: 52.2% (+16.0%) (p=0.0374)
    · WEEKLY_VWAP_FADE_SHORT       | Normal OR              | WR: 68.2% vs Base: 52.2% (+16.0%) (p=0.0374)
    · WEEKLY_VWAP_FADE_SHORT       | Normal OR              | WR: 68.2% vs Base: 52.2% (+16.0%) (p=0.0374)
    · WEEKLY_VWAP_FADE_SHORT       | Normal OR              | WR: 68.2% vs Base: 52.2% (+16.0%) (p=0.0374)
    · WEEKLY_VWAP_FADE_SHORT       | Normal OR              | WR: 68.2% vs Base: 52.2% (+16.0%) (p=0.0374)
    · WEEKLY_VWAP_FADE_SHORT       | Normal OR              | WR: 68.2% vs Base: 52.2% (+16.0%) (p=0.0374)
    · C_STANDALONE_UP              | Wednesday              | WR: 52.8% vs Base: 37.1% (+15.7%) (p=0.0311)
    · C_STANDALONE_UP              | Wednesday              | WR: 52.8% vs Base: 37.1% (+15.7%) (p=0.0311)
    · C_STANDALONE_UP              | Wednesday              | WR: 52.8% vs Base: 37.1% (+15.7%) (p=0.0311)
    · C_STANDALONE_UP              | Wednesday              | WR: 52.8% vs Base: 37.1% (+15.7%) (p=0.0311)
    · C_STANDALONE_UP              | Wednesday              | WR: 52.8% vs Base: 37.1% (+15.7%) (p=0.0311)
    · C_STANDALONE_UP              | Wednesday              | WR: 52.8% vs Base: 37.1% (+15.7%) (p=0.0311)
    · C_STANDALONE_UP              | Wednesday              | WR: 52.8% vs Base: 37.1% (+15.7%) (p=0.0311)
    · C_STANDALONE_UP              | Wednesday              | WR: 52.8% vs Base: 37.1% (+15.7%) (p=0.0311)
    · C_STANDALONE_UP              | Wednesday              | WR: 52.8% vs Base: 37.1% (+15.7%) (p=0.0311)
    · C_STANDALONE_UP              | Wednesday              | WR: 52.8% vs Base: 37.1% (+15.7%) (p=0.0311)
    · C_STANDALONE_UP              | Wednesday              | WR: 52.8% vs Base: 37.1% (+15.7%) (p=0.0311)
    · IB_HIGH_FADE_SHORT           | Normal OR              | WR: 83.3% vs Base: 70.5% (+12.9%) (p=0.0114)
    · IB_HIGH_FADE_SHORT           | Normal OR              | WR: 83.3% vs Base: 70.5% (+12.9%) (p=0.0114)
    · IB_HIGH_FADE_SHORT           | Normal OR              | WR: 83.3% vs Base: 70.5% (+12.9%) (p=0.0114)
    · IB_HIGH_FADE_SHORT           | Normal OR              | WR: 83.3% vs Base: 70.5% (+12.9%) (p=0.0114)
    · IB_HIGH_FADE_SHORT           | Normal OR              | WR: 83.3% vs Base: 70.5% (+12.9%) (p=0.0114)
    · IB_HIGH_FADE_SHORT           | Normal OR              | WR: 83.3% vs Base: 70.5% (+12.9%) (p=0.0114)
    · IB_HIGH_FADE_SHORT           | Normal OR              | WR: 83.3% vs Base: 70.5% (+12.9%) (p=0.0114)
    · IB_HIGH_FADE_SHORT           | Normal OR              | WR: 83.3% vs Base: 70.5% (+12.9%) (p=0.0114)
    · IB_HIGH_FADE_SHORT           | Normal OR              | WR: 83.3% vs Base: 70.5% (+12.9%) (p=0.0114)
    · IB_HIGH_FADE_SHORT           | Normal OR              | WR: 83.3% vs Base: 70.5% (+12.9%) (p=0.0114)

  🛑 Active Drags (Size Down / Filter):
    · IB_HIGH_FADE_SHORT           | Tight OR               | WR: 50.0% vs Base: 70.5% (-20.5%) (p=0.0025)
    · IB_HIGH_FADE_SHORT           | Tight OR               | WR: 50.0% vs Base: 70.5% (-20.5%) (p=0.0025)
    · IB_HIGH_FADE_SHORT           | Tight OR               | WR: 50.0% vs Base: 70.5% (-20.5%) (p=0.0025)
    · IB_HIGH_FADE_SHORT           | Tight OR               | WR: 50.0% vs Base: 70.5% (-20.5%) (p=0.0025)
    · IB_HIGH_FADE_SHORT           | Tight OR               | WR: 50.0% vs Base: 70.5% (-20.5%) (p=0.0025)
    · IB_HIGH_FADE_SHORT           | Tight OR               | WR: 50.0% vs Base: 70.5% (-20.5%) (p=0.0025)
    · IB_HIGH_FADE_SHORT           | Tight OR               | WR: 50.0% vs Base: 70.5% (-20.5%) (p=0.0025)
    · IB_HIGH_FADE_SHORT           | Tight OR               | WR: 50.0% vs Base: 70.5% (-20.5%) (p=0.0025)
    · IB_HIGH_FADE_SHORT           | Tight OR               | WR: 50.0% vs Base: 70.5% (-20.5%) (p=0.0025)
    · IB_HIGH_FADE_SHORT           | Tight OR               | WR: 50.0% vs Base: 70.5% (-20.5%) (p=0.0025)
    · C_STANDALONE_UP              | Wide OR                | WR: 23.8% vs Base: 37.1% (-13.3%) (p=0.0078)
